split_seed,model,train_cohort,test_cohort,within_roc_auc,external_roc_auc,roc_auc_change,within_pr_auc,external_pr_auc,pr_auc_change,within_brier_score,external_brier_score,brier_score_change
17,Logistic Regression,Hungary,Cleveland,0.9093774625689519,0.8351903842779435,-0.07418707829100846,0.8796662597399909,0.8185379965959579,-0.06112826314403297,0.11484995556651091,0.1665910898724916,0.05174113430598069
17,Random Forest,Hungary,Cleveland,0.9196217494089834,0.8513335672925074,-0.06828818211647603,0.8726305269419055,0.8409478395989456,-0.03168268734295987,0.1147404447648144,0.16232679602068523,0.047586351255870823
18,Logistic Regression,Cleveland,Hungary,0.8160278745644599,0.8847350461661984,0.06870717160173845,0.8325351494338864,0.8408851323786513,0.008349982944764855,0.1646117111258662,0.12581456248000453,-0.03879714864586167
18,Random Forest,Cleveland,Hungary,0.8202090592334494,0.884684865515857,0.06447580628240757,0.8059068601772481,0.8158530167237852,0.009946156546537077,0.1699106977837105,0.13331167524017906,-0.03659902254353145
18,Logistic Regression,Hungary,Cleveland,0.9393223010244287,0.849315669415687,-0.09000663160874167,0.8488694777785866,0.8465086446551048,-0.002360833123481787,0.09261039698759051,0.15759300946123642,0.06498261247364591
18,Random Forest,Hungary,Cleveland,0.9117415287628053,0.8527811896824005,-0.05896033908040488,0.8629538796654994,0.8555205290584694,-0.007433350607029987,0.11681854890866447,0.15870784380736686,0.041889294898702384
19,Logistic Regression,Cleveland,Hungary,0.9128919860627178,0.8745483741469289,-0.038343611915788944,0.9015982755756944,0.8364683600271318,-0.06512991554856262,0.12151715100914705,0.13993225608708582,0.018415105077938768
19,Random Forest,Cleveland,Hungary,0.8996515679442509,0.8879466077880369,-0.011704960156214028,0.8862434650973727,0.8335887623980801,-0.05265470269929262,0.13919448836061651,0.13306676193532355,-0.0061277264252929675
19,Logistic Regression,Hungary,Cleveland,0.900709219858156,0.8463326899456045,-0.054376529912551486,0.8155866378315879,0.8423879558924622,0.02680131806087427,0.11700556878103652,0.1611156313757039,0.044110062594667376
19,Random Forest,Hungary,Cleveland,0.8794326241134752,0.8455869450780839,-0.033845679035391374,0.8195316941138666,0.8388589218478397,0.019327227733973107,0.132666012371649,0.16451251010102202,0.031846497729373036
20,Logistic Regression,Cleveland,Hungary,0.8682926829268294,0.8640606182256123,-0.004232064701217064,0.8084660733376109,0.8237743182651918,0.015308244927580872,0.1484410616353416,0.1460812550262516,-0.0023598066090899927
20,Random Forest,Cleveland,Hungary,0.8829268292682927,0.8769068647129666,-0.006019964555326052,0.8771472211622826,0.8302415274147382,-0.046905693747544386,0.1520576345337131,0.1365352987438141,-0.015522335789899006
20,Logistic Regression,Hungary,Cleveland,0.8936170212765957,0.854667485523776,-0.038949535752819675,0.7951036847984365,0.8458809997404217,0.05077731494198523,0.12930325543180507,0.1582614055571712,0.028958150125366122
20,Random Forest,Hungary,Cleveland,0.884160756501182,0.8547990875592208,-0.029361668941961128,0.8176530479299504,0.8487878116531432,0.031134763723192793,0.132257674212075,0.15923324347485754,0.02697556926278255
21,Logistic Regression,Cleveland,Hungary,0.9066202090592335,0.8819249297470896,-0.02469527931214388,0.8953097683110153,0.8400187484818156,-0.055291019829199706,0.1298616748221899,0.1316184653211146,0.0017567904989246874
21,Random Forest,Cleveland,Hungary,0.9017421602787457,0.8880971497390605,-0.013645010539685143,0.8750118763019428,0.8321320290715449,-0.04287984723039784,0.1433785484671866,0.1291502440373348,-0.01422830442985179
21,Logistic Regression,Hungary,Cleveland,0.8156028368794326,0.84593788383927,0.030335046959837464,0.659748330475721,0.845230562916471,0.18548223244075002,0.19775610059109142,0.16213274989844012,-0.035623350692651296
21,Random Forest,Hungary,Cleveland,0.8274231678486998,0.8469907001228285,0.019567532274128663,0.6676249640952392,0.8472643181137051,0.17963935401846587,0.17847879601578553,0.15864166108424282,-0.01983713493154271
22,Logistic Regression,Cleveland,Hungary,0.8564459930313589,0.869530309112806,0.013084316081447112,0.8440695421936881,0.8253247386804115,-0.018744803513276675,0.15555269823075588,0.14415037740729067,-0.011402320823465206
22,Random Forest,Cleveland,Hungary,0.8473867595818815,0.885738659173023,0.03835189959114149,0.8369956012335584,0.8324164201399029,-0.0045791810936555155,0.16294221219577687,0.13557397081643388,-0.02736824137934299
22,Logistic Regression,Hungary,Cleveland,0.9030732860520094,0.8434374451658185,-0.059635840886190894,0.8653249064358064,0.8218593247202027,-0.04346558171560366,0.11935988379877324,0.16405968737156318,0.04469980357278994
22,Random Forest,Hungary,Cleveland,0.9093774625689519,0.8616862607474995,-0.04769120182145237,0.8791934190938078,0.8581918936675659,-0.021001525426241896,0.11557249562312509,0.15713172582787713,0.04155923020475204
